isin_random,year,index,exec_name_random,exec_pos,exec_comp_total,pr_avg,pr_med,empl_comp_avg,empl_comp_med,empl_number_consid
FR10110903014,2021,CAC Mid 60,"Ruiz, Casey",Chairman and Chief Executive Officer,1110220,10.4,12.47,NA,NA,NA
FR10110903014,2020,CAC Mid 60,"Ruiz, Casey",Chairman and Chief Executive Officer,409791,5.31,6.17,NA,NA,NA
FR10110903014,2019,CAC Mid 60,"Ruiz, Casey",Chairman and Chief Executive Officer,268834,4.21,5.16,NA,NA,NA
FR10110903014,2018,CAC Mid 60,"Ruiz, Casey",Chairman and Chief Executive Officer,838176,12.61,15.79,NA,NA,NA
FR10110903014,2017,CAC Mid 60,"Ruiz, Casey",Chairman and Chief Executive Officer,875347,12.35,17.3,NA,NA,NA
FR10110903014,2016,CAC Mid 60,"Ruiz, Casey",Chairman and Chief Executive Officer,NA,NA,NA,NA,NA,NA
FR10110903014,2015,CAC Mid 60,"Ruiz, Casey",Chairman and Chief Executive Officer,NA,NA,NA,NA,NA,NA
FR16694853569,2021,CAC Mid 60,"Chi, Benjamin",Chairman and Chief Executive Officer,NA,34,42,NA,NA,NA
FR16694853569,2020,CAC Mid 60,"el-Anwar, Aseela",NA,NA,NA,NA,NA,NA,NA
FR16694853569,2019,CAC Mid 60,"Chi, Benjamin",Chairman and Chief Executive Officer,1186350,29,35,NA,NA,NA
FR16694853569,2018,CAC Mid 60,"Chi, Benjamin",Chairman and Chief Executive Officer,849640,NA,NA,NA,NA,NA
FR16694853569,2017,CAC Mid 60,"Chi, Benjamin",Chairman and Chief Executive Officer,802990,NA,NA,NA,NA,NA
FR16694853569,2016,CAC Mid 60,"Chi, Benjamin",Chairman and Chief Executive Officer,NA,NA,NA,NA,NA,NA
FR16694853569,2015,CAC Mid 60,"Chi, Benjamin",Chairman and Chief Executive Officer,NA,NA,NA,NA,NA,NA
FR17417377687,2021,CAC Mid 60,"el-Jamail, Tameema",Chairman of the Management Board,NA,59.3,95.1,49354,30785,NA
