isin_random,year,index,exec_name_random,exec_pos,exec_comp_total,pr_avg,pr_med,empl_comp_avg,empl_comp_med,empl_number_consid,FF_12_consumer_combined,FF_12_consumer_combined_text
FR11599373680,2021,CAC Mid 60,"Espinoza, Alondra",CEO,NA,35,52,55792,37704,NA,3,Manufacturing
FR11599373680,2020,CAC Mid 60,"Espinoza, Alondra",CEO,NA,24,34,56593,39655,NA,3,Manufacturing
FR11599373680,2019,CAC Mid 60,"Espinoza, Alondra",CEO,NA,23,40,52151,30251,NA,3,Manufacturing
FR11599373680,2018,CAC Mid 60,"Espinoza, Alondra",CEO,NA,31,44,53477,38012,NA,3,Manufacturing
FR11599373680,2017,CAC Mid 60,"Espinoza, Alondra",CEO,NA,30,42,50907,36624,NA,3,Manufacturing
FR11599373680,2016,CAC Mid 60,"Espinoza, Alondra",CEO,NA,39,55,50484,35881,NA,3,Manufacturing
FR11599373680,2015,CAC Mid 60,"Espinoza, Alondra",CEO,NA,NA,NA,NA,NA,NA,3,Manufacturing
FR13537522030,2021,CAC Mid 60,"Stegall, Taveuan",Chairman and Chief Executive Officer,3507689,21.4,31.2,NA,NA,NA,12,Other
FR13537522030,2020,CAC Mid 60,"Stegall, Taveuan",Chairman and Chief Executive Officer,2448796,19,26.6,NA,NA,NA,12,Other
FR13537522030,2019,CAC Mid 60,"Stegall, Taveuan",Chairman and Chief Executive Officer,2788340,16.4,24.3,NA,NA,NA,12,Other
FR13537522030,2018,CAC Mid 60,"Stegall, Taveuan",Chairman and Chief Executive Officer,3623693,22.1,36.9,NA,NA,NA,12,Other
FR13537522030,2017,CAC Mid 60,"Stegall, Taveuan",Chairman and Chief Executive Officer,3792889,16.8,24.6,NA,NA,NA,12,Other
FR13537522030,2016,CAC Mid 60,"Stegall, Taveuan",Chairman and Chief Executive Officer,2347103,15,21.1,NA,NA,NA,12,Other
FR13537522030,2015,CAC Mid 60,"Stegall, Taveuan",Chairman and Chief Executive Officer,2606183,23.7,39.4,NA,NA,NA,12,Other
FR14129656781,2021,CAC Mid 60,"Pinto, Elii",CEO,579700,2.07,1.93,NA,NA,NA,11,Finance
FR14129656781,2020,CAC Mid 60,"Pinto, Elii",CEO,488200,1.17,1.16,NA,NA,NA,11,Finance
FR14129656781,2019,CAC Mid 60,"Pinto, Elii",CEO,488100,1.54,1.47,NA,NA,NA,11,Finance
FR14129656781,2018,CAC Mid 60,"Pinto, Elii",CEO,484200,1.32,1.34,NA,NA,NA,11,Finance
FR14129656781,2017,CAC Mid 60,"Pinto, Elii",CEO,476100,1.55,1.47,NA,NA,NA,11,Finance
FR14129656781,2016,CAC Mid 60,"Pinto, Elii",CEO,487600,1.2,1.23,NA,NA,NA,11,Finance
FR14129656781,2015,CAC Mid 60,"Pinto, Elii",CEO,331900,1.17,1.56,NA,NA,NA,11,Finance
FR14733280293,2021,CAC Mid 60,"Provosty, Griffin",CEO,1297090,45,56,NA,NA,NA,9,Shops
FR14733280293,2020,CAC Mid 60,"Provosty, Griffin",CEO,2092242,44,54,NA,NA,NA,9,Shops
FR14733280293,2019,CAC Mid 60,"Provosty, Griffin",CEO,2171927,44,54,NA,NA,NA,9,Shops
FR14733280293,2018,CAC Mid 60,"Provosty, Griffin",CEO,2486022,39,49,NA,NA,NA,9,Shops
FR14733280293,2017,CAC Mid 60,"Provosty, Griffin",CEO,2904802,24,29,NA,NA,NA,9,Shops
FR14733280293,2016,CAC Mid 60,"Provosty, Griffin",CEO,1556319,18,22,NA,NA,NA,9,Shops
FR14733280293,2015,CAC Mid 60,"Provosty, Griffin",CEO,2667097,53,64,NA,NA,NA,9,Shops
FR15893763399,2021,CAC Mid 60,"Ho, Anna",Chairman and Chief Executive Officer,5144795,54.8,69.6,87321,68770,NA,1,Consumer
FR15893763399,2020,CAC Mid 60,"Ho, Anna",Chairman and Chief Executive Officer,4180590,47.6,61.6,84465,65329,NA,1,Consumer
FR15893763399,2019,CAC Mid 60,"Ho, Anna",Chairman and Chief Executive Officer,4879995,54.3,69.8,87852,68350,NA,1,Consumer
FR15893763399,2018,CAC Mid 60,"Ho, Anna",Chairman and Chief Executive Officer,4828095,55.7,71.3,87719,68607,NA,1,Consumer
FR15893763399,2017,CAC Mid 60,"Ho, Anna",Chairman and Chief Executive Officer,4793116,55.1,72.4,86804,65985,NA,1,Consumer
FR15893763399,2016,CAC Mid 60,"Ho, Anna",Chairman and Chief Executive Officer,3676712,42.7,52.9,84696,68479,NA,1,Consumer
FR15893763399,2015,CAC Mid 60,"Ho, Anna",Chairman and Chief Executive Officer,3394214,30.02,35.9,102685,86402,NA,1,Consumer
FR16363470040,2021,CAC Mid 60,"Rojo, Andrew",CEO,191880,5.67,7.16,63600,NA,NA,12,Other
FR16363470040,2020,CAC Mid 60,"Rojo, Andrew",CEO,460975,8.78,11.86,60000,NA,NA,12,Other
FR16363470040,2019,CAC Mid 60,"Arnold, Nya",Chairman and Chief Executive Officer,234602,3.95,4.91,61200,NA,NA,12,Other
FR16363470040,2018,CAC Mid 60,"Arnold, Nya",Chairman and Chief Executive Officer,213042,5.1,6.94,61200,NA,NA,12,Other
FR16363470040,2017,CAC Mid 60,"Arnold, Nya",Chairman and Chief Executive Officer,187468,3.84,4.98,55200,NA,NA,12,Other
FR16363470040,2016,CAC Mid 60,"Arnold, Nya",Chairman and Chief Executive Officer,204624,4.06,5.14,55200,NA,NA,12,Other
FR16363470040,2015,CAC Mid 60,"Arnold, Nya",Chairman and Chief Executive Officer,203007,3.99,5.29,51600,NA,NA,12,Other
